Wavelength,Bamboo_Ventral,Calophyllum inophyllum_Ventral,Celtis_australis_Ventral,Ficus benjamina (Dhoda)_Ventral,Juglans regia Bharmat (Kagzi)_Ventral,Melia_azaderch_Ventral,Morus_alba_Ventral,Prunus persica_Ventral,Prunus_cummunis_Ventral,Punica_granatum_Ventral,Putranjiva_roxburghii_Ventral,pyrus_pashia_Ventral,Ficus Benghalensis_Ventral,Juglans regia Banuri (Minakshi)_Ventral,Kydia calycina_Ventral,Lannea coromandelica_Ventral,Lantana contact_Ventral,Malotus philippensis test_Ventral,Malotus_philippensis contact pro_Ventral,Prunus armeniaca_Ventral,Prunus cornuta_Ventral,Quercus leucotrichophora_Ventral,Querus floribunda_Ventral,Rodhodendrone arboreum_Ventral,Santalm album_Ventral,Sapandus mukorossi_Ventral,Wendlandia heynei_Ventral,Jacaranda mimosifolia_Ventral,Abies pindrow_Ventral,Acacia catechu_Ventral,Acacia Modesta_Ventral,Albizia_Chinensis_Ventral,Cidrus deodadara_Chamba_jot_Ventral,Cidrus_Deodara_IHBT_Ventral,Leucaena leucocephala_Ventral,Phyllanthus emblica_Ventral,Picea smithiana (Spruce_without cone)_Ventral,Picea smithiana (With Cone)_Ventral,Pinus_roxburghii_Ventral,Taxus baccata_Ventral,Bombax ceiba_Ventral,Albizia lebbeck_Ventral,Syzygium_cumini_Ventral,Terminalia_atala_Ventral,Vitex negundo (Vanna)_Ventral,Robinia pseudoacacia (Rubinia)_Ventral,Vyul_Ventral
1912,0.10591904,0.052462253,0.584051261,0.060256028,0.109540597,0.049286598,0.045124577,0.064755016,0.05850853,0.042797481,0.04172736,0.141911644,0.02784103,0.14014512,0.064617968,0.055945794,0.081742152,0.078539175,0.087910538,0.17823347,0.052899462,0.053544199,0.07753009,0.049982769,0.071449441,0.199291169,0.232598994,0.055048153,0.046704246,0.177610507,0.109395766,0.077158153,0.03419408,0.04834958,0.114592089,0.081355849,0.06019249,0.031402914,0.025947906,0.045700664,0.053603187,0.145378054,0.04662052,0.066344591,0.034877391,0.062299838,0.055364727
1913,0.105225646,0.05208208,0.514917423,0.059787274,0.108568652,0.048946781,0.044684181,0.064228205,0.057992858,0.042535426,0.041374987,0.14058313,0.027674856,0.139275718,0.064332815,0.055725762,0.081546071,0.078042311,0.087381683,0.176869612,0.052651429,0.053137177,0.077207176,0.049816972,0.070891447,0.198003704,0.230082553,0.054655942,0.046534409,0.176215691,0.108824965,0.0766076,0.03392194,0.047999484,0.113807072,0.080843364,0.059727264,0.031152712,0.025669161,0.045423989,0.053490583,0.144434998,0.046379932,0.065832769,0.034684591,0.061744046,0.055073051
1914,0.104630049,0.051768443,1.714148014,0.059405711,0.107789747,0.048662925,0.044314558,0.063800307,0.05754586,0.042322727,0.041097455,0.13940782,0.027528529,0.138605723,0.064058002,0.055540188,0.081382875,0.077645057,0.086975615,0.175674326,0.052500696,0.052782031,0.076940343,0.049663802,0.07042222,0.196912442,0.227858528,0.054346362,0.046390325,0.175010054,0.108369119,0.076142432,0.033691341,0.047704299,0.113117596,0.080431418,0.059325525,0.030907595,0.02538732,0.045156739,0.053413568,0.143649556,0.0462111,0.065416682,0.034475553,0.061284552,0.054852194
1915,0.104135306,0.051504853,0.515982145,0.059063273,0.107122522,0.04842717,0.043963291,0.063431655,0.057113238,0.042143548,0.040834586,0.138348178,0.02736981,0.137974594,0.063796298,0.055363308,0.08123607,0.077276185,0.086632182,0.17459764,0.052324414,0.052529079,0.076762928,0.049537466,0.070032336,0.195947163,0.225873357,0.054015231,0.046314593,0.173972204,0.107923293,0.075702655,0.033483875,0.047444981,0.112543238,0.080060502,0.05900089,0.030708492,0.025183197,0.044946136,0.05331999,0.142927528,0.046042245,0.064990326,0.034335359,0.060865345,0.054659823
1916,0.10375475,0.051252352,0.701132753,0.058825433,0.106562742,0.048249233,0.043680465,0.063071743,0.056821266,0.041984534,0.040640395,0.137465415,0.027288555,0.137464688,0.063579378,0.055232171,0.081115858,0.076992019,0.086330322,0.173706728,0.052136783,0.052320241,0.076623769,0.049472289,0.069739431,0.195066947,0.224205855,0.053737494,0.04620401,0.173134008,0.107580635,0.075327492,0.033306996,0.047187177,0.11206188,0.079825918,0.058705537,0.030553852,0.025050115,0.044781965,0.053253665,0.142311029,0.045911718,0.064664383,0.03422617,0.060552976,0.054480377
1917,0.103419784,0.051033603,1.270249689,0.058602655,0.106038742,0.048107549,0.043450931,0.062795171,0.056549613,0.041864773,0.040463133,0.136684322,0.027261119,0.137054117,0.063413542,0.055134285,0.081021615,0.076801247,0.086102639,0.172940664,0.052012123,0.052166321,0.076534123,0.049416895,0.069478587,0.194304229,0.222748802,0.053494748,0.046117794,0.172394017,0.107271731,0.074976141,0.033161955,0.046967835,0.111624242,0.079651109,0.058416913,0.030429163,0.024912944,0.044620426,0.053235929,0.14184646,0.045812924,0.064444079,0.034114147,0.060272469,0.054327917
1918,0.103198937,0.050859683,0.716459959,0.058367177,0.105606998,0.047955091,0.043250826,0.062572628,0.056335908,0.041755069,0.040306745,0.136014283,0.02717374,0.13668377,0.063317452,0.055060812,0.080957852,0.076602959,0.085946245,0.17229211,0.051936478,0.052055084,0.07649217,0.049347114,0.069228993,0.193688702,0.221498055,0.053302868,0.046070525,0.171777411,0.106998738,0.0746653,0.033015522,0.04678935,0.111275853,0.079470666,0.058195703,0.030326741,0.024803961,0.044492474,0.05322531,0.141485081,0.045695953,0.064245969,0.03406401,0.060045621,0.05421722
1919,0.103028394,0.05071362,0.373511439,0.058181726,0.105306457,0.047813131,0.043081395,0.062311026,0.05621995,0.041645463,0.040210503,0.135508243,0.027144327,0.136443877,0.06324332,0.055033208,0.080902433,0.076408748,0.085808888,0.171783257,0.051884295,0.051930532,0.07643239,0.049275158,0.069018752,0.193188844,0.220460868,0.053184027,0.045969815,0.171281839,0.10681583,0.074450737,0.03290823,0.046648223,0.110974312,0.079368307,0.057977829,0.030249921,0.024688331,0.044394699,0.05317358,0.14117754,0.045601945,0.064095491,0.034026609,0.059876914,0.054117413
1920,0.102842905,0.050637143,0.234976186,0.058013783,0.105068654,0.047731893,0.042958349,0.06214679,0.056107566,0.041556037,0.040124148,0.135046224,0.027175448,0.136329741,0.063197136,0.055021586,0.080844458,0.076335301,0.085750695,0.171395215,0.051850096,0.051829144,0.076373327,0.049257294,0.068820162,0.192811889,0.219562214,0.053071584,0.0459102,0.170869974,0.106668888,0.074244068,0.032816289,0.04653881,0.110696733,0.079292203,0.057774643,0.030240148,0.024571261,0.044333707,0.053116539,0.140960753,0.045541813,0.064000098,0.033979813,0.059745035,0.054043283
1921,0.102736425,0.050549086,0.088117388,0.057860188,0.104877022,0.047661313,0.042865327,0.062091507,0.056041606,0.041484125,0.040040602,0.134653099,0.027135946,0.13628983,0.063193303,0.055027795,0.080794186,0.07632038,0.085783368,0.171095965,0.051831205,0.051796905,0.076363853,0.049225295,0.068674205,0.192543136,0.218865753,0.052981369,0.045877431,0.170581744,0.106549666,0.074052847,0.032677371,0.046431995,0.110535897,0.079202908,0.057636829,0.030229566,0.024486585,0.044280932,0.05310155,0.140787048,0.045498501,0.063903394,0.033947929,0.059662387,0.054019941
